Player,Team,Team within selected timeframe,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",country_league,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90
M. Bartrip,Tottenham Hotspur,Tottenham Hotspur,RCB,25,22,2167,0,0.13,1,1.14,11.63,58.93,England,England,0,0,8.72,5.19,68,3.2,50.65,0.37,0.51,1,4.82,6.62,0.58,2,0.08,0,0,0.17,0,0,0,0.01,0,0,4,0.17,0,0,0.04,0.04,100,0.21,60,1.25,40,0.08,0.37,0.08,0.25,40.99,87.44,17.24,78.07,4.03,93.81,16.45,95.45,5.11,60.98,19.91,36.25,0.05,0.42,0,0,0,0,0.08,3.24,56.41,0.37,44.44,0.42,40,0.12,0.04,6.89,63.25,England 202122,,,,,,,,,,,,
G. Evans,Reading,Reading,LCB,25,22,2147,0,2,0,0,13.46,60.75,Wales,Wales,0,0,11.7,5.95,71.83,3.27,60.26,0.75,0.94,0.71,6.67,8.32,0.25,0,0,0,0,0.63,0,0,0,0.08,0,0,8,0.34,50,0,0,0,0,0.71,64.71,1.89,40,0.42,0.21,0,0.42,37.14,76.75,18.57,60.5,3.02,98.61,12.87,94.79,8.22,40.31,23.53,40.75,0,0,0,0,0.08,0,0,5.2,41.13,0.88,4.76,0.67,6.25,0.13,0,8.22,56.63,England 202122,,,,,,,,,,,,
Lou. Quinn,Birmingham City,Birmingham City,"CB, RCB",31,22,2146,5,3.87,0,0,13.59,60.19,Republic of Ireland,Republic of Ireland,0,0,10.07,4.99,74.79,5.49,54.2,0.46,0.51,0.63,5.87,6.54,0.25,0,0,0,0,0.34,0.21,5,0.21,0.16,2,0.08,12,0.5,41.67,41.667,0,0,0,0.21,60,0.63,46.67,0.63,0,0,0.42,20.17,67.78,12.12,52.25,1.64,100,4.36,92.31,5.49,45.8,21.95,37.96,0,0,0,0,0,0,0,3.61,47.67,0.34,12.5,0.21,20,0.08,0,5.54,49.24,England 202122,,,,,,,,,,,,
K. Zelem,Manchester United,Manchester United,"LDMF, RDMF",26,22,2137,5,2.82,5,4.03,17.44,53.62,England,England,163,0,10.28,7.16,64.71,4.3,53.92,0.21,0.33,0.51,5.43,8.58,1.09,1,0.04,0,0,1.31,0.21,3,0.13,0.12,0,0,28,1.18,32.14,17.857,0.21,1.18,46.43,0.51,33.33,2.78,34.85,0.46,0.17,0,0.51,47.08,78.26,16.47,62.4,8.8,90.91,15.54,86.72,6.28,44.97,19.25,36.47,0.17,1.81,0.08,0.04,0.46,45.45,0.38,8.8,61.72,2.57,42.62,0.93,27.27,0.59,0.59,8.38,70.85,England 202122,,,,,,,,,,,,
M. Pacheco,Aston Villa,Aston Villa,LB,23,22,2135,0,0.4,0,1.84,19.81,50.43,England,England,0,0,11.42,8.22,64.1,1.69,52.5,0.34,0.43,0.08,5.82,7.35,0.42,3,0.13,0,0,2.15,0,0,0,0.02,0,0,9,0.38,22.22,0,0,1.81,30.23,3.37,45,6.58,35.26,0.59,1.52,0.8,0.8,36.08,71.03,16.31,63.82,4.09,84.54,9.61,75.44,3.79,36.67,18.72,35.42,0.08,0.93,0,0.04,0.13,0,0.13,5.86,56.83,1.73,34.15,0.25,16.67,0.3,0.55,8.35,63.64,England 202122,,,,,,,,,,,,
M. Le Tissier,Brighton & Hove Albion,Brighton & Hove Albion,"RB, RCB",20,22,2133,1,0.57,0,1.22,16.03,55.53,England,England,0,0,11.35,5.91,60.71,3.67,60.92,0.38,0.48,0.55,7.38,9.24,0.55,3,0.13,0,0,2.03,0.04,1,0.04,0.02,0,0,7,0.3,28.57,14.286,0,2.32,47.27,1.43,55.88,3.88,45.65,0.63,1.14,0.51,0.97,40.59,72.66,19.66,64.59,4.81,92.98,13,79.22,7.72,43.17,22.49,38.94,0.05,0.42,0.04,0,0.21,20,0.21,7,58.43,3.16,50.67,1.01,41.67,0.63,1.22,11.22,64.29,England 202122,,,,,,,,,,,,
M. Bright,Chelsea,Chelsea,RCB,28,22,2113,0,1.65,0,1.18,10.39,66.8,England,England,0,0,7.84,3.49,75.61,3.75,72.73,0.26,0.41,0.38,4.94,7.84,0.64,4,0.17,0,0,0.64,0,0,0,0.07,0,0,23,0.98,17.39,0,0,0.85,30,0.47,36.36,1.32,29.03,1.02,0.81,0.09,0.04,63.21,83.96,28.96,74.12,4.3,93.07,25.47,93.31,9.03,50.47,21.86,40.57,0.05,0.43,0.04,0.04,0.09,50,0.38,11.63,67.77,2.17,39.22,1.19,46.43,0.6,0.38,14.14,76.81,England 202122,,,,,,,,,,,,
A. Greenwood,Manchester City,Manchester City,LCB,28,22,2086,4,3.35,2,2.31,15.92,60.43,England,England,168,0,8.46,5.57,72.87,3.54,58.54,0.43,0.84,0.56,3.97,7.69,0.73,3,0.13,0,0,1.98,0.17,2,0.09,0.14,1,0.04,16,0.69,56.25,25,0.09,0.95,40.91,1.6,67.57,4.14,52.08,0.69,2.03,0.52,0.52,80.25,89.52,37.58,83.35,2.55,91.53,32.96,96.47,9.32,63.89,21.19,40.2,0.1,0.95,0,0,0.3,42.86,0.17,14.32,72.59,2.11,42.86,1.12,42.31,0.47,0.39,16.52,84.07,England 202122,,,,,,,,,,,,
E. Koivisto,Brighton & Hove Albion,Brighton & Hove Albion,"RB, LB, RW",27,22,2056,3,2.57,0,0.71,26,48.32,Finland,Finland,169,0,13.09,9.89,66.37,4.29,44.9,0.26,0.33,0.18,6.26,7.76,0.92,1,0.04,0,0,1.44,0.13,3,0.13,0.11,2,0.09,16,0.7,25,18.75,0,1.18,25.93,2.58,37.29,7.79,32.58,1.49,0.74,0.13,1.4,26.57,74.46,10.02,61.14,5.38,89.43,6.79,80.65,1.18,44.44,16.61,18.49,0.03,0.35,0.04,0,0.04,0,0.09,2.1,43.75,1.31,40,0.13,0,0.39,0.31,4.46,53.92,England 202122,,,,,,,,,,,,
G. George,Everton,Everton,LCB,25,21,2050,0,0.28,0,0.79,15.85,61.5,England,England,172,0,10.45,6.8,71.61,3.64,63.86,0.4,0.5,0.75,5.18,6.59,0.79,5,0.22,0,0,0.61,0,0,0,0.01,0,0,6,0.26,0,0,0,0.26,16.67,0.79,61.11,2.63,40,0.44,1.4,0.4,0.18,52.38,85.58,18.48,72.21,3.29,96,26.25,94.31,6.1,46.04,20.02,35.38,0.03,0.13,0,0,0.09,100,0.04,4.21,59.38,0.61,21.43,0.31,42.86,0.18,0.04,7.64,54.6,England 202122,,,,,,,,,,,,
