Player,Team,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,xA per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",conference_season,conference_type,Season
S. Hauk,Nebraska Cornhuskers,GK,20,19,1848,0,0,0,0,1.17,66.67,United States,United States,180,0,3.51,0.15,33.33,0.63,92.31,0.05,0.06,0,3.41,4.13,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.1,0,0,0,0.1,14.51,78.52,8.18,68.45,0,0,5.41,90.99,6.38,58.02,30.06,39.95,0,0,0,0,0,0,0.83,41.18,0.05,0,0,0,0,0,4.43,63.74,Big10 2022,Power 5,2022
L. Anglim,Nebraska Cornhuskers,LCB,18,19,1844,1,0.07,2,2.74,9.61,59.39,United States,United States,170,0,8.39,5.52,70.8,1.32,55.56,0.1,0.12,0.34,4.39,5.28,0.54,1,0.05,0,0,0.44,0.05,1,0.05,0,0,0,4,0.2,25,25,0.1,0.13,0.39,62.5,0.2,75,1.66,41.18,0.05,0.34,0.44,24.89,65.88,14.45,53.72,1.22,84,6.83,86.43,7.57,38.71,23.99,37.61,1.12,0,0,0,0,0.05,5.86,42.5,0.78,25,0.39,0,0.05,0.24,7.22,58.78,Big10 2022,Power 5,2022
S. Weber,Nebraska Cornhuskers,"LAMF , CF , LW",19,19,1802,9,8.22,3,0.88,30.72,42.93,United States,United States,168,0,7.34,5.74,57.39,5.99,43.33,0.4,0.47,0.1,3.65,4.29,1.6,3,0.15,0,0,4.74,0.45,9,0.45,0.41,3,0.15,87,4.35,27.59,10.345,0.15,0.04,1.65,21.21,6.19,50,15.78,40.51,3.45,2.25,1.7,19.58,49.23,8.94,34.08,2.55,86.27,5.29,57.55,3.9,28.21,21.28,34.26,0.65,0,0,0.6,16.67,0.45,4.4,25,2.45,26.53,0.85,5.88,0.7,0.45,3.4,54.41,Big10 2022,Power 5,2022
J. Cili,Illinois Fighting Illini,GK,20,18,1742,0,0,0,0,0.93,94.44,United States,United States,173,0,2.07,0.05,0,0.52,100,0.05,0.07,0,2.01,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,12.86,82.33,7.49,75.17,0,0,4.55,90.91,5.68,66.36,30.35,41,0,0,0,0,0,0,0.31,33.33,0,0,0,0,0,0,3.87,65.33,Big10 2022,Power 5,2022
E. Mason,Rutgers Scarlet Knights,RCB,20,19,1724,3,2.99,0,0.24,9.87,59.26,United States,United States,178,0,9.14,5.12,68.37,2.09,55,0.37,0.53,0.47,5.27,7.63,0.26,2,0.1,0,0,0.57,0.16,3,0.16,0.16,0,0,15,0.78,46.67,20,0,0.01,0.1,0,0.31,66.67,1.46,46.43,0.68,2.51,0.31,61.55,77.86,28.71,62.73,2.09,95,26.15,93.01,12.53,42.5,23.31,36.27,0.1,0.05,0,0.05,0,0.05,9.66,54.05,1.25,8.33,1.04,5,0.16,0,14.2,63.24,Big10 2022,Power 5,2022
E. McKinney,Wisconsin Badgers,GK,22,18,1714,0,0,0,0,0.74,78.57,United States,United States,165,0,2.36,0,0,0.53,80,0,0,0,2.36,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,0.26,14.7,89.64,6.51,79.03,0,0,7.46,99.3,3.99,65.79,26.28,30.54,0,0,0,0,0,0,0.32,33.33,0,0,0,0,0,0,2.42,60.87,Big10 2022,Power 5,2022
N. Hauk,Nebraska Cornhuskers,RCB,,19,1711,0,0.26,0,0.47,10.15,68.39,Germany,Germany,170,0,9.1,5.1,75.26,2.58,67.35,0.05,0.06,0.68,5.21,6.1,0.26,0,0,0,0,0.63,0,0,0,0.01,0,0,4,0.21,25,0,0,0.02,0.11,100,0.58,81.82,1,57.89,0.21,0.32,0.16,28.56,68.69,16.57,62.54,1.63,87.1,7.78,79.05,9.21,45.71,22.63,34.03,0.21,0,0.05,0,0,0.05,5.05,47.92,0.32,33.33,0.37,14.29,0,0.11,7.84,59.73,Big10 2022,Power 5,2022
E. Karolak,Illinois Fighting Illini,"LCB , CB , RB",19,18,1683,1,0.74,1,0.36,16.47,54.87,United States,United States,170,0,12.25,9.57,65.36,1.5,28.57,0,0,0.27,5.99,7.4,0.27,0,0,0,0,0.91,0.05,1,0.05,0.04,0,0,4,0.21,75,25,0.05,0.02,0.27,20,1.23,56.52,3.64,38.24,0.43,0.91,0.43,40.21,76.6,18.24,62.76,2.14,95,16.95,90.54,8.18,50.33,21.62,31.14,0.32,0,0.05,0.05,0,0.11,4.17,48.72,0.21,25,0.27,60,0.05,0.05,8.18,45.75,Big10 2022,Power 5,2022
L. Kozal,Michigan State Spartans,GK,22,18,1658,0,0,0,0,1.19,77.27,United States,United States,178,0,1.52,0.05,0,0.6,81.82,0,0,0,1.52,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.27,80,0,0,0.38,35.23,89.68,13.95,79.77,0.11,100,18.46,96.47,6.62,57.38,23.88,34.51,0,0,0,0,0,0,0.76,28.57,0,0,0,0,0,0,4.51,46.99,Big10 2022,Power 5,2022
R. Lapi,Northwestern Wildcats,"RCMF , RDMF , RCMF3",21,17,1650,5,3.83,3,0.43,28.04,63.42,United States,United States,170,0,14.13,9.76,73.74,6.49,73.11,0.44,0.56,0.38,6.49,8.4,1.53,2,0.11,0,0,1.8,0.27,2,0.11,0.21,1,0.05,26,1.42,30.77,19.231,0.16,0.02,0.33,33.33,1.47,77.78,7.85,47.92,1.31,0.87,1.91,45.05,71.31,18.76,52.33,5.29,92.78,15.82,85.52,9.82,33.89,21.5,38.6,0.16,0,0,0.49,22.22,0.11,10.85,45.23,1.53,25,1.25,17.39,0.65,0.05,8.84,58.64,Big10 2022,Power 5,2022
